,id,first_name,height_feet,height_inches,last_name,position,weight_pounds,abbreviation,city,conference,division,full_name,name
0,14,Ike,,,Anigbogu,C,,IND,Indiana,East,Central,Indiana Pacers,Pacers
1,25,Ron,,,Baker,G,,NYK,New York,East,Atlantic,New York Knicks,Knicks
2,47,Jabari,,,Bird,G,,BOS,Boston,East,Atlantic,Boston Celtics,Celtics
3,67,MarShon,,,Brooks,G,,MEM,Memphis,West,Southwest,Memphis Grizzlies,Grizzlies
4,71,Lorenzo,,,Brown,G,,TOR,Toronto,East,Atlantic,Toronto Raptors,Raptors
5,90,Omri,,,Casspi,F,,MEM,Memphis,West,Southwest,Memphis Grizzlies,Grizzlies
6,1,Alex,6.0,6.0,Abrines,G,200.0,OKC,Oklahoma City,West,Northwest,Oklahoma City Thunder,Thunder
7,119,Tyler,,,Davis,C,,OKC,Oklahoma City,West,Northwest,Oklahoma City Thunder,Thunder
8,149,Keenan,,,Evans,G,,DET,Detroit,East,Central,Detroit Pistons,Pistons
9,179,Marcin,,,Gortat,C,,LAC,LA,West,Pacific,LA Clippers,Clippers
10,1593,Andrew,,,Bogut,F,,GSW,Golden State,West,Pacific,Golden State Warriors,Warriors
11,241,Amir,6.0,9.0,Johnson,C-F,240.0,PHI,Philadelphia,East,Atlantic,Philadelphia 76ers,76ers
12,392,Malachi,,,Richardson,G,,UTA,Utah,West,Northwest,Utah Jazz,Jazz
13,281,Zach,,,Lofton,G,,DET,Detroit,East,Central,Detroit Pistons,Pistons
14,263,Kosta,7.0,0.0,Koufos,C,245.0,SAC,Sacramento,West,Pacific,Sacramento Kings,Kings
15,382,Billy,,,Preston,F,,CLE,Cleveland,East,Central,Cleveland Cavaliers,Cavaliers
16,384,Zhou,,,Qi,F-C,,HOU,Houston,West,Southwest,Houston Rockets,Rockets
17,388,Zach,,,Randolph,F,,SAC,Sacramento,West,Pacific,Sacramento Kings,Kings
18,430,DJ,,,Stephens,G-F,,MEM,Memphis,West,Southwest,Memphis Grizzlies,Grizzlies
19,437,Milos,,,Teodosic,G,,LAC,LA,West,Pacific,LA Clippers,Clippers
20,448,Gary,,,Trent Jr.,G,,POR,Portland,West,Northwest,Portland Trail Blazers,Trail Blazers
21,494,Michael,,,Smith,,,BOS,Boston,East,Atlantic,Boston Celtics,Celtics
22,495,John,,,Morton,,,CLE,Cleveland,East,Central,Cleveland Cavaliers,Cavaliers
23,496,Howard,,,Wright,,,ATL,Atlanta,East,Southeast,Atlanta Hawks,Hawks
24,497,Michael,,,Ansley,,,ORL,Orlando,East,Southeast,Orlando Magic,Magic
25,14,Ike,,,Anigbogu,C,,IND,Indiana,East,Central,Indiana Pacers,Pacers
26,25,Ron,,,Baker,G,,NYK,New York,East,Atlantic,New York Knicks,Knicks
27,47,Jabari,,,Bird,G,,BOS,Boston,East,Atlantic,Boston Celtics,Celtics
28,67,MarShon,,,Brooks,G,,MEM,Memphis,West,Southwest,Memphis Grizzlies,Grizzlies
29,71,Lorenzo,,,Brown,G,,TOR,Toronto,East,Atlantic,Toronto Raptors,Raptors
30,90,Omri,,,Casspi,F,,MEM,Memphis,West,Southwest,Memphis Grizzlies,Grizzlies
31,1,Alex,6.0,6.0,Abrines,G,200.0,OKC,Oklahoma City,West,Northwest,Oklahoma City Thunder,Thunder
32,119,Tyler,,,Davis,C,,OKC,Oklahoma City,West,Northwest,Oklahoma City Thunder,Thunder
33,149,Keenan,,,Evans,G,,DET,Detroit,East,Central,Detroit Pistons,Pistons
34,179,Marcin,,,Gortat,C,,LAC,LA,West,Pacific,LA Clippers,Clippers
35,1593,Andrew,,,Bogut,F,,GSW,Golden State,West,Pacific,Golden State Warriors,Warriors
36,241,Amir,6.0,9.0,Johnson,C-F,240.0,PHI,Philadelphia,East,Atlantic,Philadelphia 76ers,76ers
37,392,Malachi,,,Richardson,G,,UTA,Utah,West,Northwest,Utah Jazz,Jazz
38,281,Zach,,,Lofton,G,,DET,Detroit,East,Central,Detroit Pistons,Pistons
39,263,Kosta,7.0,0.0,Koufos,C,245.0,SAC,Sacramento,West,Pacific,Sacramento Kings,Kings
40,382,Billy,,,Preston,F,,CLE,Cleveland,East,Central,Cleveland Cavaliers,Cavaliers
