abbreviation,city,state,full_name,name
ATL,Atlanta,Georgia,Atlanta Hawks,Hawks
BKN,Brooklyn,New York,Brooklyn Nets,Nets
BOS,Boston,Massachusetts,Boston Celtics,Celtics
CHA,Charlotte,North Carolina,Charlotte Hornets,Hornets
CHA,Charlotte,North Carolina,Charlotte Hornets,Hornets
CHI,Chicago,Illinois,Chicago Bulls,Bulls
CLE,Cleveland,Ohio,Cleveland Cavaliers,Cavaliers
DAL,Dallas,Texas,Dallas Mavericks,Mavericks
DEN,Denver,Colorado,Denver Nuggets,Nuggets
DET,Detroit,Michigan,Detroit Pistons,Pistons
GSW,San Francisco,California,Golden State Warriors,Warriors
HOU,Houston,Texas,Houston Rockets,Rockets
IND,Indianapolis,Indiana,Indiana Pacers,Pacers
LAC,Los Angeles,California,LA Clippers,Clippers
LAL,Los Angeles,California,Los Angeles Lakers,Lakers
MEM,Memphis,Tennessee,Memphis Grizzlies,Grizzlies
MIA,Miami,Florida,Miami Heat,Heat
MIL,Milwaukee,Wisconsin,Milwaukee Bucks,Bucks
MIN,Minneapolis,Minnesota,Minnesota Timberwolves,Timberwolves
NJN,New York,New York,New York Knicks,Knicks
NOH,New Orleans,Louisiana,New Orleans Pelicans,Pelicans
NOK,New Orleans,Louisiana,New Orleans Pelicans,Pelicans
NOP,New Orleans,Louisiana,New Orleans Pelicans,Pelicans
NYK,New York,New York,New York Knicks,Knicks
OKC,Oklahoma City,Oklahoma,Oklahoma City Thunder,Thunder
ORL,Orlando,Florida,Orlando Magic,Magic
PHI,Philadelphia,Pennsylvania,Philadelphia 76ers,76ers
PHX,Phoenix,Arizona,Phoenix Suns,Suns
POR,Portland,Oregon,Portland Trail Blazers,Trail Blazers
SAC,Sacramento,California,Sacramento Kings,Kings
SAS,San Antonio,Texas,San Antonio Spurs,Spurs
SEA,Oklahoma City,Oklahoma,Oklahoma City Thunder,Thunder
TOR,Toronto,Canada,Toronto Raptors,Raptors
UTA,Salt Lake City,Utah,Utah Jazz,Jazz
VAN,Memphis,Tennessee,Memphis Grizzlies,Grizzlies
WAS,Washington DC,Washington DC,Washington Wizards,Wizards
CHH,Charlotte,North Carolina,Charlotte Hornets,Hornets
